,0
0,hsa-mir-519a-1
1,hsa-mir-29b-2
2,hsa-mir-146a
3,hsa-mir-32
4,hsa-mir-1258
5,hsa-mir-376b
6,hsa-mir-517c
7,hsa-mir-223
8,hsa-mir-4532
9,hsa-mir-28
10,hsa-mir-151b
11,hsa-mir-197
12,hsa-mir-196a-1
13,hsa-mir-591
14,hsa-mir-511
15,hsa-mir-1183
16,hsa-mir-613
17,hsa-mir-384
18,hsa-mir-3663
19,hsa-mir-103a
20,hsa-mir-659
21,hsa-mir-1287
22,hsa-mir-302
23,hsa-mir-513a-1
24,hsa-mir-516a-2
25,hsa-mir-92b
26,hsa-mir-147a
27,hsa-mir-497
28,hsa-mir-367
29,hsa-mir-638
30,hsa-mir-513c
31,hsa-mir-658
32,hsa-mir-126a
33,hsa-mir-181c
34,hsa-mir-299
35,hsa-mir-4417
36,hsa-mir-648
37,hsa-mir-17
38,hsa-mir-1178
39,hsa-mir-187
40,hsa-mir-144
41,hsa-mir-148b
42,hsa-mir-589
43,hsa-mir-100
44,hsa-mir-1247
45,hsa-mir-3676
46,hsa-mir-122
47,hsa-mir-518c
48,hsa-mir-1180
49,hsa-mir-519b
50,hsa-mir-652
51,hsa-mir-4279
52,hsa-mir-632
53,hsa-mir-603
54,hsa-mir-451b
55,hsa-mir-711
56,hsa-mir-181
57,hsa-mir-608
58,hsa-mir-346
59,hsa-mir-193b
60,hsa-mir-943
61,hsa-mir-376c
62,hsa-mir-877
63,hsa-mir-23c
64,hsa-mir-551a
65,hsa-mir-27
66,hsa-mir-520f
67,hsa-mir-142a
68,hsa-mir-203
69,hsa-mir-942
70,hsa-mir-770
71,hsa-mir-491
72,hsa-mir-650
73,hsa-mir-637
74,hsa-mir-1273g
75,hsa-mir-718
76,hsa-mir-196a-2
77,hsa-mir-1236
78,hsa-mir-151a
79,hsa-mir-1296
80,hsa-mir-767
81,hsa-mir-7-2
82,hsa-mir-302c
83,hsa-mir-520b
84,hsa-mir-422a
85,hsa-mir-448
86,hsa-mir-518b
87,hsa-mir-92
88,hsa-mir-572
89,hsa-mir-627
90,hsa-mir-454
91,hsa-mir-586
92,hsa-let-7a-2
93,hsa-let-7f-1
94,hsa-mir-194-2
95,hsa-mir-203a
96,hsa-mir-500b
97,hsa-mir-3074
98,hsa-mir-542
99,hsa-mir-886
100,hsa-mir-29b
101,hsa-mir-567
102,hsa-mir-1291
103,hsa-mir-1343
104,hsa-mir-302d
105,hsa-mir-625
106,hsa-mir-516a
107,hsa-mir-24-2
108,hsa-mir-6852
109,hsa-mir-1302-8
110,hsa-mir-3666
111,hsa-mir-105
112,hsa-mir-124-3
113,hsa-mir-550a
114,hsa-mir-210
115,hsa-mir-516b-2
116,hsa-mir-128a
117,hsa-mir-96
118,hsa-mir-378b
119,hsa-mir-451a
120,hsa-mir-1288
121,hsa-mir-208b
122,hsa-mir-452
123,hsa-mir-365b
124,hsa-mir-1265
125,hsa-mir-337
126,hsa-mir-6724
127,hsa-mir-526a-2
128,hsa-mir-671
129,hsa-mir-20
130,hsa-mir-1973
131,hsa-mir-30c
132,hsa-mir-4286
133,hsa-mir-19b-2
134,hsa-mir-204
135,hsa-mir-19b
136,hsa-mir-636
137,hsa-mir-1302-1
138,hsa-mir-124
139,hsa-mir-432
140,hsa-mir-509
141,hsa-mir-200c
142,hsa-mir-598
143,hsa-mir-630
144,hsa-mir-124-1
145,hsa-mir-184
146,hsa-mir-597
147,hsa-mir-30b
148,hsa-mir-1294
149,hsa-mir-33b
150,hsa-mir-1266
151,hsa-mir-296
152,hsa-mir-103a-1
153,hsa-mir-4695
154,hsa-mir-551b
155,hsa-mir-520g
156,hsa-mir-2909
157,hsa-mir-155
158,hsa-mir-512-2
159,hsa-mir-642b
160,hsa-mir-183
161,hsa-mir-3960
162,hsa-mir-1285
163,hsa-mir-4262
164,hsa-mir-1471
165,hsa-mir-133a-2
166,hsa-mir-571
167,hsa-mir-451
168,hsa-mir-30c-2
169,hsa-mir-124a
170,hsa-mir-1260a
171,hsa-mir-330
172,hsa-mir-23a
173,hsa-mir-216
174,hsa-mir-1234
175,hsa-mir-3591
176,hsa-mir-190a
177,hsa-mir-1269a
178,hsa-mir-595
179,hsa-mir-518d
180,hsa-mir-33
181,hsa-mir-1227
182,hsa-mir-518a
183,hsa-mir-1273
184,hsa-mir-1274a
185,hsa-mir-219-1
186,hsa-mir-382
187,hsa-mir-320c-1
188,hsa-mir-331
189,hsa-mir-5100
190,hsa-mir-3178
191,hsa-mir-3622b
192,hsa-mir-616
193,hsa-mir-101-1
194,hsa-mir-1207
195,hsa-mir-1290
196,hsa-mir-181b-1
197,hsa-mir-320e
198,hsa-mir-99b
199,hsa-mir-218
200,hsa-mir-4306
201,hsa-let-7e
202,hsa-mir-181d
203,hsa-mir-516b-1
204,hsa-mir-1249
205,hsa-mir-569
206,hsa-mir-483
207,hsa-mir-769
208,hsa-mir-128
209,hsa-mir-431
210,hsa-mir-3149
211,hsa-mir-645
212,hsa-mir-502
213,hsa-mir-143
214,hsa-mir-510
215,hsa-mir-133b
216,hsa-mir-494
217,hsa-mir-449a
218,hsa-mir-4270
219,hsa-mir-599
220,hsa-mir-29c
221,hsa-mir-675
222,hsa-mir-1303
223,hsa-mir-15
224,hsa-mir-363
225,hsa-mir-373
226,hsa-mir-7
227,hsa-mir-2278
228,hsa-mir-188
229,hsa-mir-301b
230,hsa-mir-492
231,hsa-mir-3171
232,hsa-mir-342
233,hsa-mir-1302-4
234,hsa-mir-190
235,hsa-mir-509-3
236,hsa-mir-153
237,hsa-mir-765
238,hsa-mir-1-2
239,hsa-mir-34a
240,hsa-mir-218-1
241,hsa-mir-103a-2
242,hsa-mir-375
243,hsa-mir-584
244,hsa-mir-449b
245,hsa-mir-199a-1
246,hsa-mir-195
247,hsa-mir-26b
248,hsa-mir-151
249,hsa-mir-146
250,hsa-mir-1229
251,hsa-mir-885
252,hsa-mir-320b-2
253,hsa-mir-519e
254,hsa-mir-1237
255,hsa-mir-130a
256,hsa-mir-1254
257,hsa-mir-940
258,hsa-mir-1226
259,hsa-mir-2861
260,hsa-mir-520
261,hsa-mir-326
262,hsa-mir-147
263,hsa-mir-544b
264,hsa-mir-103b-1
265,hsa-mir-500
266,hsa-mir-573
267,hsa-mir-518
268,hsa-mir-564
269,hsa-let-7g
270,hsa-mir-605
271,hsa-mir-301a
272,hsa-mir-543
273,hsa-mir-941
274,hsa-mir-182
275,hsa-mir-1908
276,hsa-mir-937
277,hsa-mir-1298
278,hsa-mir-424
279,hsa-mir-132
280,hsa-mir-9-2
281,hsa-mir-186
282,hsa-mir-92a-1
283,hsa-mir-512
284,hsa-mir-3619
285,hsa-mir-199a
286,hsa-mir-26a-2
287,hsa-mir-944
288,hsa-mir-499
289,hsa-mir-933
290,hsa-mir-873
291,hsa-mir-216a
292,hsa-mir-557
293,hsa-mir-92a-2
294,hsa-mir-181b
295,hsa-mir-27a
296,hsa-mir-196
297,hsa-mir-585
298,hsa-mir-4634
299,hsa-mir-6780b
300,hsa-mir-490
301,hsa-mir-198
302,hsa-mir-298
303,hsa-mir-922
304,hsa-mir-532
305,hsa-mir-484
306,hsa-let-7a
307,hsa-mir-378
308,hsa-mir-211
309,hsa-mir-216b
310,hsa-mir-526a-1
311,hsa-mir-30
312,hsa-mir-215
313,hsa-mir-1225
314,hsa-mir-4284
315,hsa-mir-760
316,hsa-mir-199
317,hsa-mir-214
318,hsa-mir-507
319,hsa-let-7f-2
320,hsa-mir-506
321,hsa-mir-508
322,hsa-mir-18
323,hsa-mir-99a
324,hsa-mir-29b-1
325,hsa-mir-610
326,hsa-mir-365
327,hsa-mir-888
328,hsa-mir-381
329,hsa-mir-340
330,hsa-mir-1182
331,hsa-mir-133a-1
332,hsa-mir-518e
333,hsa-mir-193a
334,hsa-mir-128-2
335,hsa-mir-496
336,hsa-mir-126
337,hsa-mir-219
338,hsa-mir-548d
339,hsa-mir-425
340,hsa-mir-631
341,hsa-mir-1260b
342,hsa-mir-708
343,hsa-mir-101-2
344,hsa-mir-194
345,hsa-mir-181a-2
346,hsa-mir-411
347,hsa-mir-593
348,hsa-mir-124a-3
349,hsa-mir-935
350,hsa-mir-513a
351,hsa-mir-135
352,hsa-mir-378f
353,hsa-mir-552
354,hsa-mir-4732
355,hsa-mir-378a
356,hsa-mir-1260
357,hsa-mir-1307
358,hsa-mir-297
359,hsa-mir-147b
360,hsa-mir-124a-2
361,hsa-mir-203b
362,hsa-mir-520e
363,hsa-mir-520a
364,hsa-mir-129
365,hsa-mir-320d-2
366,hsa-mir-455
367,hsa-mir-639
368,hsa-mir-133
369,hsa-let-7d
370,hsa-mir-16-1
371,hsa-mir-378h
372,hsa-mir-1-1
373,hsa-mir-30c-1
374,hsa-mir-4739
375,hsa-mir-196b
376,hsa-mir-139
377,hsa-mir-148
378,hsa-mir-378c
379,hsa-mir-133a
380,hsa-mir-579
381,hsa-mir-6126
382,hsa-mir-377
383,hsa-mir-544a
384,hsa-mir-1281
385,hsa-mir-505
386,hsa-mir-3196
387,hsa-mir-224
388,hsa-mir-98
389,hsa-mir-1228
390,hsa-mir-629
391,hsa-mir-622
392,hsa-mir-335
393,hsa-mir-634
394,hsa-mir-495
395,hsa-mir-550a-3
396,hsa-mir-372
397,hsa-mir-200a
398,hsa-mir-18b
399,hsa-mir-128-1
400,hsa-mir-504
401,hsa-mir-92-1
402,hsa-mir-149
403,hsa-mir-153-1
404,hsa-mir-498
405,hsa-mir-199b
406,hsa-mir-656
407,hsa-mir-378d-2
408,hsa-mir-1202
409,hsa-mir-1275
410,hsa-mir-190b
411,hsa-mir-130b
412,hsa-mir-205
413,hsa-mir-371
414,hsa-mir-513a-2
415,hsa-mir-302b
416,hsa-mir-548c
417,hsa-mir-876
418,hsa-mir-577
419,hsa-mir-520c
420,hsa-mir-124-2
421,hsa-mir-1224
422,hsa-mir-19
423,hsa-mir-200b
424,hsa-mir-365a
425,hsa-mir-1283
426,hsa-mir-449
427,hsa-mir-137
428,hsa-mir-16-2
429,hsa-mir-525
430,hsa-mir-582
431,hsa-mir-103
432,hsa-mir-663
433,hsa-mir-9-1
434,hsa-mir-758
435,hsa-mir-409
436,hsa-mir-2682
437,hsa-mir-142
438,hsa-mir-526b
439,hsa-mir-3127
440,hsa-mir-194-1
441,hsa-mir-125b-2
442,hsa-let-7f
443,hsa-mir-519c
444,hsa-mir-450
445,hsa-mir-545
446,hsa-mir-181a
447,hsa-mir-501
448,hsa-mir-2110
449,hsa-mir-20b
450,hsa-mir-23b
451,hsa-mir-5096
452,hsa-mir-575
453,hsa-mir-1238
454,hsa-mir-550a-1
455,hsa-mir-324
456,hsa-mir-202
457,hsa-mir-423
458,hsa-mir-370
459,hsa-mir-519a
460,hsa-mir-369
461,hsa-mir-302f
462,hsa-mir-1302-3
463,hsa-mir-34c
464,hsa-mir-362
465,hsa-mir-128b
466,hsa-mir-548b
467,hsa-mir-938
468,hsa-mir-519d
469,hsa-mir-185
470,hsa-mir-644
471,hsa-mir-320c-2
472,hsa-mir-122a
473,hsa-mir-146b
474,hsa-mir-1915
475,hsa-mir-320c
476,hsa-mir-320a
477,hsa-mir-802
478,hsa-mir-642a
479,hsa-mir-499b
480,hsa-mir-615
481,hsa-mir-135b
482,hsa-mir-374a
483,hsa-mir-379
484,hsa-mir-663a
485,hsa-mir-4449
486,hsa-mir-127
487,hsa-mir-410
488,hsa-mir-522
489,hsa-mir-302e
490,hsa-mir-1231
491,hsa-mir-517a
492,hsa-mir-135a-2
493,hsa-mir-339
494,hsa-mir-500a
495,hsa-mir-614
496,hsa-mir-10
497,hsa-mir-601
498,hsa-mir-208a
499,hsa-mir-18a
500,hsa-mir-371a
501,hsa-mir-212
502,hsa-mir-380
503,hsa-mir-106b
504,hsa-mir-574
505,hsa-mir-27b
506,hsa-mir-487b
507,hsa-mir-130
508,hsa-mir-328
509,hsa-mir-320d-1
510,hsa-mir-107
511,hsa-mir-433
512,hsa-mir-218-2
513,hsa-mir-1297
514,hsa-mir-29
515,hsa-mir-378d-1
516,hsa-mir-499a
517,hsa-mir-509-1
518,hsa-mir-665
519,hsa-mir-199a-2
520,hsa-mir-611
521,hsa-mir-95
522,hsa-mir-19b-1
523,hsa-mir-101
524,hsa-mir-663b
525,hsa-mir-618
526,hsa-mir-378e
527,hsa-mir-602
528,hsa-mir-1827
529,hsa-mir-93
530,hsa-mir-378i
531,hsa-mir-191
532,hsa-mir-1246
533,hsa-mir-600
534,hsa-mir-134
535,hsa-let-7
536,hsa-mir-138
537,hsa-mir-323a
538,hsa-mir-21
539,hsa-mir-320b
540,hsa-mir-4644
541,hsa-mir-15a
542,hsa-mir-140
543,hsa-mir-520h
544,hsa-mir-138-1
545,hsa-mir-219a
546,hsa-mir-516a-1
547,hsa-mir-660
548,hsa-mir-590
549,hsa-mir-31a
550,hsa-mir-624
551,hsa-mir-576
552,hsa-mir-376a
553,hsa-mir-592
554,hsa-mir-371b
555,hsa-mir-513b
556,hsa-mir-322
557,hsa-mir-1302-6
558,hsa-mir-125
559,hsa-mir-556
560,hsa-mir-217
561,hsa-mir-486
562,hsa-mir-26a-1
563,hsa-mir-1
564,hsa-mir-145
565,hsa-mir-34
566,hsa-mir-338
567,hsa-mir-19a
568,hsa-mir-376
569,hsa-mir-25
570,hsa-let-7a-1
571,hsa-mir-138-2
572,hsa-mir-566
573,hsa-mir-200
574,hsa-mir-3200
575,hsa-mir-612
576,hsa-mir-378g
577,hsa-mir-136
578,hsa-mir-1299
579,hsa-mir-9
580,hsa-mir-181b-2
581,hsa-mir-1179
582,hsa-mir-181a-1
583,hsa-mir-154
584,hsa-mir-503
585,hsa-mir-10a
586,hsa-mir-524
587,hsa-mir-33a
588,hsa-mir-34b
589,hsa-mir-26a
590,hsa-mir-485
591,hsa-mir-3175
592,hsa-mir-3662
593,hsa-mir-3151
594,hsa-let-7a-3
595,hsa-mir-125b
596,hsa-mir-766
597,hsa-mir-628
598,hsa-let-7i
599,hsa-mir-661
600,hsa-mir-429
601,hsa-mir-720
602,hsa-mir-583
603,hsa-mir-320d
604,hsa-mir-655
605,hsa-mir-1302-2
606,hsa-mir-31
607,hsa-mir-7-3
608,hsa-mir-325
609,hsa-mir-22
610,hsa-mir-383
611,hsa-mir-3135b
612,hsa-mir-874
613,hsa-mir-150
614,hsa-mir-30a
615,hsa-mir-125b-1
616,hsa-mir-687
617,hsa-mir-141
618,hsa-mir-1914
619,hsa-mir-1302-7
620,hsa-mir-449c
621,hsa-mir-548
622,hsa-mir-1825
623,hsa-mir-4317
624,hsa-mir-939
625,hsa-mir-3613
626,hsa-mir-9-3
627,hsa-mir-3162
628,hsa-mir-208
629,hsa-mir-301
630,hsa-mir-323
631,hsa-mir-520d
632,hsa-mir-196a
633,hsa-mir-761
634,hsa-mir-489
635,hsa-mir-112
636,hsa-mir-148a
637,hsa-mir-570
638,hsa-mir-7-1
639,hsa-mir-539
640,hsa-mir-192
641,hsa-mir-1301
642,hsa-mir-30e
643,hsa-mir-1302-5
644,hsa-mir-651
645,hsa-mir-493
646,hsa-mir-320b-1
647,hsa-mir-646
648,hsa-mir-15b
649,hsa-mir-29a
650,hsa-mir-487a
651,hsa-mir-744
652,hsa-mir-24
653,hsa-mir-488
654,hsa-mir-345
655,hsa-mir-300
656,hsa-mir-561
657,hsa-mir-514a
658,hsa-mir-129-2
659,hsa-mir-4530
660,hsa-mir-519
661,hsa-mir-654
662,hsa-let-7b
663,hsa-mir-24-1
664,hsa-mir-219-2
665,hsa-mir-662
666,hsa-mir-1271
667,hsa-let-7c
668,hsa-mir-135a-1
669,hsa-mir-20a
670,hsa-mir-509-2
671,hsa-mir-329
672,hsa-mir-221
673,hsa-mir-466
674,hsa-mir-3
675,hsa-mir-512-1
676,hsa-mir-374b
677,hsa-mir-103b-2
678,hsa-mir-421
679,hsa-mir-92a
680,hsa-mir-361
681,hsa-mir-135a
682,hsa-mir-4728
683,hsa-mir-4454
684,hsa-mir-523
685,hsa-mir-302a
686,hsa-mir-4717
687,hsa-mir-892a
688,hsa-mir-664
689,hsa-mir-581
690,hsa-mir-10b
691,hsa-mir-1233
692,hsa-mir-647
693,hsa-mir-657
694,hsa-mir-106a
695,hsa-mir-550a-2
696,hsa-mir-320
697,hsa-mir-4521
698,hsa-mir-206
699,hsa-mir-153-2
700,hsa-mir-222
701,hsa-mir-152
702,hsa-mir-4487
703,hsa-mir-106
704,hsa-mir-16
705,hsa-mir-1280
706,hsa-mir-519a-2
707,hsa-mir-30d
708,hsa-mir-450b
709,hsa-mir-125a
710,hsa-mir-129-1
711,hsa-mir-323b
712,hsa-mir-193
